Origem,Destino
AC,MT
AC,RO
AL,PE
AL,PI
AL,RN
AL,SE
AM,AP
AM,GO
AM,MT
AM,PA
AM,RO
AM,RR
AM,TO
AP,PA
AP,RR
AP,TO
BA,DF
BA,ES
BA,MG
BA,PI
BA,SE
BA,TO
CE,MA
CE,PI
CE,RN
CE,SE
DF,GO
DF,MG
DF,PR
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,RO
GO,SP
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,TO
MS,PR
MS,RO
MS,RS
MS,SP
MG,PI
MG,RJ
MG,SP
PA,PI
PA,TO
PB,PE
PB,RN
PR,RS
PR,SC
PR,SP
PE,PI
PE,TO
PI,SE
PI,TO
RJ,SP
RO,TO
RS,SC
SC,SP
SE,TO
