Origem,Destino
AC,MT
AC,RO
AL,PE
AL,PI
AL,SE
AM,AP
AM,DF
AM,MT
AM,PR
AM,RO
AM,RR
AM,TO
AP,MA
AP,PI
AP,RR
AP,TO
BA,DF
BA,ES
BA,PE
BA,PI
BA,SE
BA,SP
BA,TO
CE,MA
CE,PB
CE,PR
CE,RN
CE,SE
CE,TO
DF,GO
DF,MT
DF,MG
DF,RJ
DF,SP
DF,TO
ES,MG
ES,RJ
ES,SE
ES,SP
ES,TO
GO,MS
GO,MG
GO,PR
GO,RO
GO,SE
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,TO
MS,MG
MS,PR
MS,RO
MS,RS
MS,SP
MG,PR
MG,RJ
MG,SE
PA,PI
PA,RO
PA,SE
PA,TO
PB,PE
PB,RN
PB,TO
PR,SC
PR,SP
PI,RN
PI,RO
PI,SE
PI,TO
RJ,SC
RJ,SP
RO,SP
RO,TO
RS,SC
RS,TO
SC,SP
SE,TO
