Origem,Destino
AC,MS
AC,RO
AL,PE
AL,PI
AL,SE
AL,TO
AM,AP
AM,DF
AM,MT
AM,PA
AM,RO
AM,RR
AM,TO
AP,PA
AP,RR
AP,TO
BA,CE
BA,DF
BA,ES
BA,MG
BA,PI
BA,SE
BA,TO
CE,MA
CE,PI
CE,RN
DF,GO
DF,MG
DF,SP
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,PR
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,RO
MT,TO
MS,PR
MS,RS
MS,SP
MG,PI
MG,RJ
MG,SP
PA,PI
PA,TO
PB,PE
PB,PI
PB,RN
PR,RS
PR,SC
PR,SP
PI,SE
PI,TO
RJ,SP
RN,SE
RO,TO
RS,SC
SC,SP
