Origem,Destino
AC,MT
AC,RO
AL,PE
AL,PI
AL,SE
AM,AP
AM,DF
AM,MT
AM,RO
AM,RR
AM,TO
AP,PA
AP,PI
AP,RR
AP,TO
BA,CE
BA,DF
BA,ES
BA,PI
BA,SE
BA,SP
BA,TO
CE,PA
CE,PI
CE,RN
DF,GO
DF,MG
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,PR
GO,SP
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,RO
MT,SP
MT,TO
MS,PR
MS,RS
MG,PI
MG,RJ
MG,SE
MG,SP
PA,TO
PB,PE
PB,PI
PB,RN
PR,RS
PR,SC
PR,SP
PI,SE
PI,TO
RJ,SP
RN,SE
RN,TO
RO,TO
RS,SC
SC,SP
SE,TO
