Origem,Destino
AC,MT
AC,RO
AL,PE
AL,PI
AL,SE
AM,AP
AM,GO
AM,MT
AM,PA
AM,RO
AM,RR
AM,TO
AP,PA
AP,TO
BA,DF
BA,ES
BA,MG
BA,PI
BA,SE
BA,TO
CE,MA
CE,PI
CE,RN
CE,SE
DF,GO
DF,MG
DF,PR
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,SP
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,RO
MT,TO
MS,PR
MS,RS
MS,SP
MG,PI
MG,RJ
MG,SP
PA,PI
PA,RR
PA,TO
PB,PE
PB,RN
PB,SE
PR,RS
PR,SC
PR,SP
PE,PI
PI,SE
PI,TO
RJ,SP
RN,TO
RO,TO
RS,SC
SC,SP
SE,TO
