Origem,Destino
AC,MT
AC,RO
AL,PE
AL,PI
AL,SE
AM,AP
AM,DF
AM,MT
AM,PA
AM,RO
AM,RR
AM,TO
AP,PA
AP,RR
AP,TO
BA,DF
BA,ES
BA,MG
BA,PI
BA,SE
BA,TO
CE,MA
CE,PI
CE,RN
CE,SE
DF,GO
DF,MG
DF,PI
DF,SP
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,PR
GO,TO
MA,PA
MA,PI
MA,TO
MT,MS
MT,RO
MT,TO
MS,PR
MS,RS
MS,SP
MG,RJ
MG,SP
PA,PI
PA,TO
PB,PE
PB,PI
PB,RN
PB,SE
PR,RS
PR,SC
PR,SP
PI,SE
PI,TO
RJ,SP
RN,TO
RO,TO
RS,SC
SC,SP
SE,TO
